Group_Variable,Group,Metric,Mean,Std,Median,Min,Max,Count
Experience,0-2 yrs,AISent_num,4.1667,0.9339,4.0,1.0,5.0,60
Experience,3-5 yrs,AISent_num,3.7255,1.1534,4.0,1.0,5.0,419
Experience,6-10 yrs,AISent_num,3.636,1.2132,4.0,1.0,5.0,890
Experience,11+ yrs,AISent_num,3.6085,1.2418,4.0,1.0,5.0,2879
Experience,0-2 yrs,AIAcc_num,3.4833,1.0246,4.0,1.0,5.0,60
Experience,3-5 yrs,AIAcc_num,3.0358,1.1483,3.0,1.0,5.0,419
Experience,6-10 yrs,AIAcc_num,2.7697,1.1726,3.0,1.0,5.0,890
Experience,11+ yrs,AIAcc_num,2.662,1.1843,3.0,1.0,5.0,2879
Experience,0-2 yrs,JobSat_num,7.05,2.1635,7.0,0.0,10.0,60
Experience,3-5 yrs,JobSat_num,7.0692,2.0314,7.0,0.0,10.0,419
Experience,6-10 yrs,JobSat_num,7.3169,1.9484,8.0,0.0,10.0,890
Experience,11+ yrs,JobSat_num,7.6916,1.8495,8.0,0.0,10.0,2879
Employment,Freelancer/Contractor,AISent_num,3.6906,1.2073,4.0,1.0,5.0,3584
Employment,Student,AISent_num,3.3268,1.2778,4.0,1.0,5.0,664
Employment,Freelancer/Contractor,AIAcc_num,2.7617,1.1767,3.0,1.0,5.0,3584
Employment,Student,AIAcc_num,2.5783,1.2173,2.0,1.0,5.0,664
Employment,Freelancer/Contractor,JobSat_num,7.6342,1.8871,8.0,0.0,10.0,3584
Employment,Student,JobSat_num,7.0482,1.9398,7.0,0.0,10.0,664
