Language,DevType_Group,Adoption_Rate,Admiration_Rate,Gap_Score,N_respondents
JavaScript,Full-Stack,0.87139,0.60596,-0.26543,12339
JavaScript,Backend,0.56655,0.28185,-0.2847,6446
JavaScript,Frontend,0.92577,0.77429,-0.15148,1972
JavaScript,Mobile,0.44779,0.21283,-0.23497,1389
JavaScript,Embedded,0.33506,0.13205,-0.20301,1273
JavaScript,Data/AI,0.41898,0.22201,-0.19697,2019
JavaScript,DevOps,0.53152,0.28094,-0.25058,1053
JavaScript,Architect,0.6997,0.45848,-0.24123,2680
HTML/CSS,Full-Stack,0.82603,0.6465,-0.17953,12339
HTML/CSS,Backend,0.46672,0.25509,-0.21164,6446
HTML/CSS,Frontend,0.85653,0.77024,-0.08629,1972
HTML/CSS,Mobile,0.35953,0.18367,-0.17585,1389
HTML/CSS,Embedded,0.32782,0.16094,-0.16688,1273
HTML/CSS,Data/AI,0.40997,0.23158,-0.17839,2019
HTML/CSS,DevOps,0.51174,0.31104,-0.20071,1053
HTML/CSS,Architect,0.62091,0.42965,-0.19126,2680
SQL,Full-Stack,0.72422,0.57496,-0.14925,12339
SQL,Backend,0.63844,0.49428,-0.14415,6446
SQL,Frontend,0.3005,0.20445,-0.09605,1972
SQL,Mobile,0.32831,0.21866,-0.10965,1389
SQL,Embedded,0.23578,0.11692,-0.11886,1273
SQL,Data/AI,0.69806,0.57225,-0.12581,2019
SQL,DevOps,0.59827,0.39967,-0.1986,1053
SQL,Architect,0.66997,0.51956,-0.15041,2680
Python,Full-Stack,0.48446,0.34456,-0.1399,12339
Python,Backend,0.5433,0.38138,-0.16192,6446
Python,Frontend,0.28051,0.20547,-0.07505,1972
Python,Mobile,0.34446,0.23469,-0.10976,1389
Python,Embedded,0.78283,0.57772,-0.20512,1273
Python,Data/AI,0.91898,0.83541,-0.08357,2019
Python,DevOps,0.77009,0.5786,-0.19149,1053
Python,Architect,0.57185,0.44132,-0.13054,2680
Bash/Shell (all shells),Full-Stack,0.45909,0.32265,-0.13644,12339
Bash/Shell (all shells),Backend,0.50704,0.33036,-0.17668,6446
Bash/Shell (all shells),Frontend,0.29764,0.20344,-0.0942,1972
Bash/Shell (all shells),Mobile,0.31755,0.20117,-0.11638,1389
Bash/Shell (all shells),Embedded,0.66908,0.44979,-0.21929,1273
Bash/Shell (all shells),Data/AI,0.51177,0.38469,-0.12708,2019
Bash/Shell (all shells),DevOps,0.78245,0.62709,-0.15536,1053
Bash/Shell (all shells),Architect,0.51685,0.36102,-0.15583,2680
TypeScript,Full-Stack,0.64316,0.54724,-0.09592,12339
TypeScript,Backend,0.37031,0.24143,-0.12888,6446
TypeScript,Frontend,0.77302,0.73482,-0.0382,1972
TypeScript,Mobile,0.28848,0.18659,-0.10189,1389
TypeScript,Embedded,0.16443,0.10041,-0.06401,1273
TypeScript,Data/AI,0.20429,0.13684,-0.06745,2019
TypeScript,DevOps,0.36836,0.23244,-0.13591,1053
TypeScript,Architect,0.49851,0.37543,-0.12308,2680
Java,Full-Stack,0.29676,0.16975,-0.12701,12339
Java,Backend,0.3654,0.24617,-0.11923,6446
Java,Frontend,0.14775,0.07186,-0.07589,1972
Java,Mobile,0.41119,0.17784,-0.23335,1389
Java,Embedded,0.18614,0.06465,-0.12149,1273
Java,Data/AI,0.21468,0.10239,-0.11229,2019
Java,DevOps,0.29543,0.13545,-0.15997,1053
Java,Architect,0.34688,0.20865,-0.13823,2680
C#,Full-Stack,0.35783,0.28405,-0.07377,12339
C#,Backend,0.24531,0.19766,-0.04765,6446
C#,Frontend,0.12134,0.0749,-0.04644,1972
C#,Mobile,0.14747,0.06997,-0.0775,1389
C#,Embedded,0.19752,0.10867,-0.08885,1273
C#,Data/AI,0.13573,0.07464,-0.06109,2019
C#,DevOps,0.21384,0.11538,-0.09846,1053
C#,Architect,0.39643,0.33219,-0.06424,2680
C++,Full-Stack,0.15266,0.08227,-0.0704,12339
C++,Backend,0.16169,0.1012,-0.06049,6446
C++,Frontend,0.07709,0.0334,-0.04369,1972
C++,Mobile,0.16792,0.08163,-0.08629,1389
C++,Embedded,0.73009,0.56121,-0.16888,1273
C++,Data/AI,0.18975,0.10622,-0.08353,2019
C++,DevOps,0.16069,0.08027,-0.08042,1053
C++,Architect,0.21259,0.12835,-0.08424,2680
PowerShell,Full-Stack,0.25393,0.1237,-0.13023,12339
PowerShell,Backend,0.18537,0.07667,-0.1087,6446
PowerShell,Frontend,0.11563,0.05364,-0.06199,1972
PowerShell,Mobile,0.08288,0.03061,-0.05227,1389
PowerShell,Embedded,0.18407,0.0619,-0.12218,1273
PowerShell,Data/AI,0.20983,0.08995,-0.11988,2019
PowerShell,DevOps,0.31891,0.14214,-0.17677,1053
PowerShell,Architect,0.33102,0.1709,-0.16012,2680
C,Full-Stack,0.1363,0.07377,-0.06253,12339
C,Backend,0.14078,0.07694,-0.06384,6446
C,Frontend,0.06709,0.02733,-0.03977,1972
C,Mobile,0.15285,0.06706,-0.0858,1389
C,Embedded,0.79938,0.57909,-0.22029,1273
C,Data/AI,0.12604,0.06603,-0.06001,2019
C,DevOps,0.15575,0.07692,-0.07882,1053
C,Architect,0.18979,0.10501,-0.08478,2680
PHP,Full-Stack,0.2771,0.15604,-0.12106,12339
PHP,Backend,0.15892,0.09451,-0.06441,6446
PHP,Frontend,0.18487,0.083,-0.10187,1972
PHP,Mobile,0.10334,0.0481,-0.05523,1389
PHP,Embedded,0.06722,0.02338,-0.04383,1273
PHP,Data/AI,0.07064,0.02201,-0.04863,2019
PHP,DevOps,0.19778,0.07692,-0.12085,1053
PHP,Architect,0.17344,0.08373,-0.08971,2680
Go,Full-Stack,0.15157,0.12325,-0.02832,12339
Go,Backend,0.2436,0.18957,-0.05403,6446
Go,Frontend,0.06995,0.05466,-0.01529,1972
Go,Mobile,0.08504,0.06268,-0.02236,1389
Go,Embedded,0.10134,0.0729,-0.02844,1273
Go,Data/AI,0.12188,0.06986,-0.05203,2019
Go,DevOps,0.41038,0.34615,-0.06423,1053
Go,Architect,0.18533,0.151,-0.03434,2680
Rust,Full-Stack,0.12345,0.11908,-0.00437,12339
Rust,Backend,0.15828,0.15807,-0.00021,6446
