Language,Adoption_Rate,Admiration_Rate,Want_Rate,Gap_Score,N_Adopted,N_Admired,N_Want,Rank_by_Gap,Poly2_R2,Poly3_R2
Gleam,0.01116,0.01066,0.03585,-0.00049,353,250,970,1,0.9807,0.9846
Zig,0.02143,0.01855,0.08908,-0.00287,678,435,2410,2,0.9807,0.9846
Elixir,0.02677,0.0238,0.06713,-0.00297,847,558,1816,3,0.9807,0.9846
Rust,0.14907,0.14569,0.34191,-0.00338,4717,3416,9250,4,0.9807,0.9846
OCaml,0.0116,0.00806,0.0319,-0.00354,367,189,863,5,0.9807,0.9846
F#,0.01283,0.00853,0.03356,-0.0043,406,200,908,6,0.9807,0.9846
Erlang,0.0147,0.00994,0.0353,-0.00476,465,233,955,7,0.9807,0.9846
Lisp,0.02373,0.01855,0.04192,-0.00518,751,435,1134,8,0.9807,0.9846
Prolog,0.01065,0.00469,0.01527,-0.00596,337,110,413,9,0.9807,0.9846
Ada,0.01362,0.00759,0.01889,-0.00603,431,178,511,10,0.9807,0.9846
GDScript,0.03353,0.02576,0.03948,-0.00777,1061,604,1068,11,0.9807,0.9846
Fortran,0.01419,0.00559,0.01467,-0.0086,449,131,397,12,0.9807,0.9846
MicroPython,0.02279,0.01365,0.03068,-0.00914,721,320,830,13,0.9807,0.9846
Delphi,0.02516,0.01565,0.02081,-0.0095,796,367,563,14,0.9807,0.9846
Scala,0.02661,0.01416,0.03412,-0.01245,842,332,923,15,0.9807,0.9846
Swift,0.05429,0.038,0.07507,-0.01629,1718,891,2031,16,0.9807,0.9846
Perl,0.0384,0.01685,0.02591,-0.02155,1215,395,701,17,0.9807,0.9846
Dart,0.05948,0.03774,0.06099,-0.02173,1882,885,1650,18,0.9807,0.9846
R,0.04958,0.02649,0.04831,-0.0231,1569,621,1307,19,0.9807,0.9846
Ruby,0.06466,0.03868,0.05866,-0.02598,2046,907,1587,20,0.9807,0.9846
MATLAB,0.0389,0.01258,0.02281,-0.02632,1231,295,617,21,0.9807,0.9846
Assembly,0.07092,0.04333,0.07947,-0.02758,2244,1016,2150,22,0.9807,0.9846
VBA,0.04213,0.01395,0.01778,-0.02818,1333,327,481,23,0.9807,0.9846
Visual Basic (.Net),0.0445,0.01471,0.02133,-0.02978,1408,345,577,24,0.9807,0.9846
Groovy,0.04845,0.01697,0.02236,-0.03147,1533,398,605,25,0.9807,0.9846
Lua,0.09184,0.05817,0.08816,-0.03366,2906,1364,2385,26,0.9807,0.9846
Kotlin,0.10802,0.0743,0.13961,-0.03372,3418,1742,3777,27,0.9807,0.9846
Go,0.16474,0.12552,0.27379,-0.03923,5213,2943,7407,28,0.9807,0.9846
C#,0.27952,0.21035,0.22599,-0.06918,8845,4932,6114,29,0.9807,0.9846
C,0.22055,0.13388,0.16792,-0.08668,6979,3139,4543,30,0.9807,0.9846
C++,0.23636,0.14868,0.19365,-0.08768,7479,3486,5239,31,0.9807,0.9846
PHP,0.1893,0.09933,0.10616,-0.08997,5990,2329,2872,32,0.9807,0.9846
TypeScript,0.43776,0.34286,0.37307,-0.0949,13852,8039,10093,33,0.9807,0.9846
PowerShell,0.23278,0.11144,0.11141,-0.12134,7366,2613,3014,34,0.9807,0.9846
Java,0.29529,0.16659,0.18389,-0.12871,9344,3906,4975,35,0.9807,0.9846
Python,0.58111,0.44249,0.45864,-0.13862,18388,10375,12408,36,0.9807,0.9846
SQL,0.58834,0.44773,0.41583,-0.14061,18617,10498,11250,37,0.9807,0.9846
Bash/Shell (all shells),0.4894,0.34853,0.31988,-0.14087,15486,8172,8654,38,0.9807,0.9846
HTML/CSS,0.62197,0.43771,0.3938,-0.18426,19681,10263,10654,39,0.9807,0.9846
JavaScript,0.66321,0.4186,0.39085,-0.24461,20986,9815,10574,40,0.9807,0.9846
